Time,Protein_concentration,Repressor_concentration
44.700000,0.866662,1.000000
44.800000,0.866662,1.000000
44.900000,0.866663,1.000000
45.000000,0.866663,1.000000
45.100000,0.866663,1.000000
45.200000,0.866664,1.000000
45.300000,0.866664,1.000000
45.400000,0.866664,1.000000
45.500000,0.866665,1.000000
45.600000,0.866665,1.000000
45.700000,0.866665,1.000000
45.800000,0.866665,1.000000
45.900000,0.866666,1.000000
46.000000,0.866666,1.000000
46.100000,0.866666,1.000000
46.200000,0.866667,1.000000
46.300000,0.866667,1.000000
46.400000,0.866667,1.000000
46.500000,0.866667,1.000000
46.600000,0.866667,1.000000
46.700000,0.866668,1.000000
46.800000,0.866668,1.000000
46.900000,0.866668,1.000000
47.000000,0.866668,1.000000
47.100000,0.866668,1.000000
47.200000,0.866668,1.000000
47.300000,0.866669,1.000000
47.400000,0.866669,1.000000
47.500000,0.866669,1.000000
47.600000,0.866669,1.000000
47.700000,0.866669,1.000000
47.800000,0.866669,1.000000
47.900000,0.866669,1.000000
48.000000,0.866669,1.000000
48.100000,0.866669,1.000000
48.200000,0.866669,1.000000
48.300000,0.866669,1.000000
48.400000,0.866669,1.000000
48.500000,0.866669,1.000000
48.600000,0.866669,1.000000
48.700000,0.866669,1.000000
48.800000,0.866669,1.000000
48.900000,0.866669,1.000000
49.000000,0.866669,1.000000
49.100000,0.866669,1.000000
49.200000,0.866669,1.000000
49.300000,0.866669,1.000000
49.400000,0.866669,1.000000
49.500000,0.866669,1.000000
49.600000,0.866668,1.000000
49.700000,0.866668,1.000000
49.800000,0.866668,1.000000
49.900000,0.866668,1.000000
50.000000,0.866668,1.000000
