Time,Protein_concentration,Activator_concentration
36.300000,1.333326,1.000000
36.400000,1.333326,1.000000
36.500000,1.333325,1.000000
36.600000,1.333325,1.000000
36.700000,1.333325,1.000000
36.800000,1.333325,1.000000
36.900000,1.333324,1.000000
37.000000,1.333324,1.000000
37.100000,1.333324,1.000000
37.200000,1.333323,1.000000
37.300000,1.333323,1.000000
37.400000,1.333323,1.000000
37.500000,1.333322,1.000000
37.600000,1.333322,1.000000
37.700000,1.333322,1.000000
37.800000,1.333321,1.000000
37.900000,1.333321,1.000000
38.000000,1.333321,1.000000
38.100000,1.333320,1.000000
38.200000,1.333320,1.000000
38.300000,1.333319,1.000000
38.400000,1.333319,1.000000
38.500000,1.333319,1.000000
38.600000,1.333318,1.000000
38.700000,1.333318,1.000000
38.800000,1.333318,1.000000
38.900000,1.333317,1.000000
39.000000,1.333317,1.000000
39.100000,1.333316,1.000000
39.200000,1.333316,1.000000
39.300000,1.333316,1.000000
39.400000,1.333315,1.000000
39.500000,1.333315,1.000000
39.600000,1.333314,1.000000
39.700000,1.333314,1.000000
39.800000,1.333314,1.000000
39.900000,1.333313,1.000000
40.000000,1.333313,1.000000
40.100000,1.333313,1.000000
40.200000,1.333312,1.000000
40.300000,1.333312,1.000000
40.400000,1.333312,1.000000
40.500000,1.333312,1.000000
40.600000,1.333311,1.000000
40.700000,1.333311,1.000000
40.800000,1.333311,1.000000
40.900000,1.333311,1.000000
41.000000,1.333310,1.000000
41.100000,1.333310,1.000000
41.200000,1.333310,1.000000
41.300000,1.333310,1.000000
41.400000,1.333310,1.000000
41.500000,1.333309,1.000000
41.600000,1.333309,1.000000
41.700000,1.333309,1.000000
41.800000,1.333309,1.000000
41.900000,1.333309,1.000000
42.000000,1.333309,1.000000
42.100000,1.333309,1.000000
42.200000,1.333309,1.000000
42.300000,1.333309,1.000000
42.400000,1.333309,1.000000
42.500000,1.333309,1.000000
42.600000,1.333309,1.000000
42.700000,1.333309,1.000000
42.800000,1.333309,1.000000
42.900000,1.333309,1.000000
43.000000,1.333310,1.000000
43.100000,1.333310,1.000000
43.200000,1.333310,1.000000
43.300000,1.333310,1.000000
43.400000,1.333311,1.000000
43.500000,1.333311,1.000000
43.600000,1.333311,1.000000
43.700000,1.333312,1.000000
43.800000,1.333312,1.000000
43.900000,1.333313,1.000000
44.000000,1.333313,1.000000
44.100000,1.333314,1.000000
44.200000,1.333314,1.000000
44.300000,1.333315,1.000000
44.400000,1.333315,1.000000
44.500000,1.333316,1.000000
44.600000,1.333317,1.000000
44.700000,1.333317,1.000000
44.800000,1.333318,1.000000
44.900000,1.333319,1.000000
45.000000,1.333320,1.000000
45.100000,1.333320,1.000000
45.200000,1.333321,1.000000
45.300000,1.333322,1.000000
45.400000,1.333323,1.000000
45.500000,1.333323,1.000000
45.600000,1.333324,1.000000
45.700000,1.333325,1.000000
45.800000,1.333326,1.000000
45.900000,1.333326,1.000000
46.000000,1.333327,1.000000
46.100000,1.333328,1.000000
46.200000,1.333328,1.000000
46.300000,1.333329,1.000000
46.400000,1.333330,1.000000
46.500000,1.333330,1.000000
46.600000,1.333331,1.000000
46.700000,1.333332,1.000000
46.800000,1.333332,1.000000
46.900000,1.333333,1.000000
47.000000,1.333334,1.000000
47.100000,1.333334,1.000000
47.200000,1.333335,1.000000
47.300000,1.333336,1.000000
47.400000,1.333336,1.000000
47.500000,1.333337,1.000000
47.600000,1.333338,1.000000
47.700000,1.333338,1.000000
47.800000,1.333339,1.000000
47.900000,1.333339,1.000000
48.000000,1.333340,1.000000
48.100000,1.333341,1.000000
48.200000,1.333341,1.000000
48.300000,1.333342,1.000000
48.400000,1.333342,1.000000
48.500000,1.333343,1.000000
48.600000,1.333343,1.000000
48.700000,1.333344,1.000000
48.800000,1.333344,1.000000
48.900000,1.333345,1.000000
49.000000,1.333345,1.000000
49.100000,1.333346,1.000000
49.200000,1.333346,1.000000
49.300000,1.333347,1.000000
49.400000,1.333347,1.000000
49.500000,1.333348,1.000000
49.600000,1.333348,1.000000
49.700000,1.333349,1.000000
49.800000,1.333349,1.000000
49.900000,1.333350,1.000000
50.000000,1.333350,1.000000
